Token 100, string(keyword) int, line number 3
Token 132, string(id) fact, line number 3
Token 128, string(delimiter) (, line number 3
Token 100, string(keyword) int, line number 3
Token 132, string(id) n, line number 3
Token 129, string(delimiter) ), line number 3
Token 126, string(delimiter) {, line number 3
Token 113, string(keyword) if, line number 4
Token 128, string(delimiter) (, line number 4
Token 132, string(id) n, line number 4
Token 120, string(operator) <=, line number 4
Token 130, string(integer) 1, line number 4
Token 129, string(delimiter) ), line number 4
Token 118, string(keyword) return, line number 5
Token 130, string(integer) 1, line number 5
Token 132, string(delimiter) ;, line number 5
Token 114, string(keyword) else, line number 6
Token 118, string(keyword) return, line number 7
Token 132, string(id) n, line number 7
Token 112, string(operator) *, line number 7
Token 132, string(id) fact, line number 7
Token 128, string(delimiter) (, line number 7
Token 132, string(id) n, line number 7
Token 111, string(operator) -, line number 7
Token 130, string(integer) 1, line number 7
Token 129, string(delimiter) ), line number 7
Token 132, string(delimiter) ;, line number 7
Token 127, string(delimiter) }, line number 8
Token 132, string(id) void, line number 9
Token 132, string(id) main, line number 9
Token 128, string(delimiter) (, line number 9
Token 132, string(id) void, line number 9
Token 129, string(delimiter) ), line number 9
Token 126, string(delimiter) {, line number 9
Token 100, string(keyword) int, line number 10
Token 132, string(id) x, line number 10
Token 132, string(delimiter) ;, line number 10
Token 132, string(id) x, line number 11
Token 127, string(operator) =, line number 11
Token 130, string(integer) 1, line number 11
Token 132, string(delimiter) ;, line number 11
Token 104, string(keyword) while, line number 12
Token 128, string(delimiter) (, line number 12
Token 132, string(id) x, line number 12
Token 120, string(operator) <=, line number 12
Token 130, string(integer) 10, line number 12
Token 129, string(delimiter) ), line number 12
Token 126, string(delimiter) {, line number 12
Token 132, string(id) write, line number 13
Token 128, string(delimiter) (, line number 13
Token 132, string(id) x, line number 13
Token 129, string(delimiter) ), line number 13
Token 132, string(delimiter) ;, line number 13
Token 132, string(id) write, line number 14
Token 128, string(delimiter) (, line number 14
Token 132, string(id) fact, line number 14
Token 128, string(delimiter) (, line number 14
Token 132, string(id) x, line number 14
Token 129, string(delimiter) ), line number 14
Token 129, string(delimiter) ), line number 14
Token 132, string(delimiter) ;, line number 14
Token 132, string(id) writeln, line number 15
Token 128, string(delimiter) (, line number 15
Token 129, string(delimiter) ), line number 15
Token 132, string(delimiter) ;, line number 15
Token 132, string(id) x, line number 16
Token 127, string(operator) =, line number 16
Token 132, string(id) x, line number 16
Token 110, string(operator) +, line number 16
Token 130, string(integer) 1, line number 16
Token 132, string(delimiter) ;, line number 16
Token 127, string(delimiter) }, line number 17
